Image,Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Correct Answer
,Suppose that there are only two goods: x and y. Which of the following is NOT correct?,One can have comparative advantage in producing both goods.,One can have both an absolute advantage and a comparative advantage in producing x.,One can have absolute advantage and no comparative advantage in producing x.,One can have comparative advantage and no absolute advantage in producing x.,All the statements above are true.,
,A change in which of the following will NOT cause a shift in the demand curve for hamburgers?,The price of hot dogs,The price of hamburgers,The price of hamburger buns,Income levels of hamburger consumers,The price of ketchup,
,The ability for firms to enter and exit a market over time means that,the marginal cost is zero,the marginal revenue is zero,the long run supply curve is more elastic,the long run supply curve is more inelastic,the firms make positive economic profit,
,"When a good is taxed, the tax burden falls mainly on the consumer if",the demand is inelastic and the supply is inelastic,the demand is inelastic and the supply is elastic,the demand is elastic and the supply is inelastic,the demand is elastic and the supply is elastic,the tax is levied on the consumers,
,"Elsa values her time at $50 per hour, and tutors David for two hours. David is willing to pay $175 for two hours of tutoring, but they negotiate a price of $125 for the entire two hours. Which of the following statements is true about the transaction above:",Consumer surplus is greater than producer surplus by between $50 and $75.,Producer surplus is greater than consumer surplus by between $50 and $75.,Consumer surplus is greater than producer surplus by more than $75.,Producer surplus is greater than consumer surplus by more than $75.,The difference between consumer and producer surplus is $25.,
https://img.crackap.com/ap/eco/cr2017/00199.jpg,A demand curve slopes downward for an individual as the result of,diminishing marginal utility,diminishing marginal returns,the Fisher effect,diminishing returns to scale,increasing marginal cost,
https://img.crackap.com/ap/eco/cr2017/00199.jpg,The supply curve for lawn-mowing services is likely to slope upward because of,decreasing marginal costs,increasing opportunity cost of time,diminishing marginal utility,increasing returns to scale,economies of scope,
https://img.crackap.com/ap/eco/cr2017/00199.jpg,"If supply and demand both increase, the result is",a definite increase in price and an indeterminate change in quantity,a definite increase in quantity and an indeterminate change in price,a definite decrease in quantity and an indeterminate change in price,a definite decrease in price and a definite increase in quantity,a definite increase in price and a definite increase in quantity,
https://img.crackap.com/ap/eco/cr2017/00199.jpg,"When the labor demand curve is downward-sloping, an increase in the minimum wage is",beneficial to some workers and harmful to other workers,beneficial to all workers and harmful to some employers,harmful to all workers and employers,beneficial to all workers and employers,none of the above,
https://img.crackap.com/ap/eco/cr2017/00222.jpg,The total utility from sardines is maximized when they are purchased until,marginal utility is zero,marginal benefit equals marginal cost,consumer surplus is zero,distributive efficiency is achieved,deadweight loss is zero,
https://img.crackap.com/ap/eco/cr2017/00222.jpg,"If a 3 percent increase in price leads to a 5 percent increase in the quantity supplied,",supply is unit elastic,demand is inelastic,demand is elastic,supply is elastic,supply is inelastic,
